company_id,jobview_url,Position(Company),Description
634879744,https://www.linkedin.com/jobs/view/634879744/,Consultant/ Associate consultant - Azure,"Proficiency with sophisticated analytics tools and programming languages (e.g., SAS, SPSS, R, Python, Alteryx, SQL, HiveQL, C#, SQL, JSON, PolyBase) and visualization platforms ..."
834952610,https://www.linkedin.com/jobs/view/834952610/,Associate/Sr. Associate/AM - US GMS,2-5 years of relevant experience in US GMS. Report to the engagement AM(s) or Manager(s) and assist in leading the overall engagement coordination as well as provide technical ...
839881363,https://www.linkedin.com/jobs/view/839881363/,KGS:MC :Informatica iPaaS Developer,"ETL experience with any other cloud iPaaS tools like Mulesoft, Dell boomi etc. is advantage. Experience with data analysis (SQL queries), interfaces, and software development on..."
823221524,https://www.linkedin.com/jobs/view/823221524/,KGS::MC::Consultant:: Automation Anywhere,2+ years of experience in RPA Bot development in. In depth knowledge of Bot creator as well as AA Control. Knowledge of any other RPA tool will be added. Manager accordingly and...
805158035,https://www.linkedin.com/jobs/view/805158035/,Devops Developer,Looking for candidates who can join us within 30 Days. Roles and Responsibilities - Hands on experience in Devops Development role. Experience And Background - 4-6 Years. ...
799151381,https://www.linkedin.com/jobs/view/799151381/,KGS-MC-Automation Testing,"Choose selenium tools and Configuring Selenium Test Environment (Ex: Eclipse IDE, Java, Selenium WebDriver and TestNG etc...). Co-coordinating Test team members and Development ..."
770902790,https://www.linkedin.com/jobs/view/770902790/,KGS:: MC :: Hadoop/Azure Developer,"Demonstrated work experience in healthcare/ life sciences data analytics projects. Technically Hands-on, prior experience with Hadoop and Azure data management services. Good ..."
856570088,https://www.linkedin.com/jobs/view/856570088/,Senior: Mumbai,"0- 3 years or more experience in working in statutory audit or in a similar environment (Audit and Accounting firms). Have strong soft skills like leadership, inter personal, ..."
837932081,https://www.linkedin.com/jobs/view/837932081/,SAP Success Factors Consultant,Industry experience in relevant functional areas of having handled key business processes over and above SAP experience would be an added advantage. Should have at least 2 end ...
828857624,https://www.linkedin.com/jobs/view/828857624/,Executive/Senior Executive,AR-SA&quot;&#x200b;&gt;Strong numerical and analytical skills. Mso-fareast-font-family:&quot;Univers for KPMG Cond&quot;&#x200b;;mso-bidi-font-family:&quot;Univers for KPMG Cond&quot;&#x200b;; Mso-fareast-font-family:&quot;...
815025774,https://www.linkedin.com/jobs/view/815025774/,KGS- Assistant Manager- People & Change HR Transformation,This is for the position of a Senior Consultant in the People &amp; Change practice as a HR Transformation and Analytics practitioner with some experience in organization design. ...
855277875,https://www.linkedin.com/jobs/view/855277875/,Canada Audit| Senior Associate 2/Associate 2 - VBA,"Hands on experience in Excel/Access/IDEA automation using VBA, ACL scripting, Visual Studio/C# user interface development; Exposure to finance function or business / functional ..."
634879941,https://www.linkedin.com/jobs/view/634879941/,KGS MC | Data & Analytics | Data Scientist,"Research, or related fields, with 5+ years of relevant experience. Data mining, or information retrieval with good experience of end-to-end. Experience in data extraction and ..."
810096418,https://www.linkedin.com/jobs/view/810096418/,KGS: MC : Informatica Business Analysts,"The candidates should have experience in Finance /Accounting Payment with strong functional knowledge in Accounting &amp; Finance. Experience with data analysis (SQL queries), ..."
834982656,https://www.linkedin.com/jobs/view/834982656/,KGS:: MC - Associate Consultant/Consultant - Testing,Testing with automation/scripting skills like python or java or .Net programming &amp; open to testing opening. Experience using management tools like jira/HP ALM. Any experience to...
819676363,https://www.linkedin.com/jobs/view/819676363/,Associate Consultant,"Service Now Integration to various solutions (SaaS, External Apps) using REST API / webservice / JSON / ServiceNow Scripting. Very good knowledge of the ITSM process. Minimum 4 ..."
805328679,https://www.linkedin.com/jobs/view/805328679/,Manager - US BTS,Work as part of a multi-disciplinary team helping to provide industry knowledge and experiences. A minimum of 8 to 10 years of corporate tax experience in an accounting firm. ...
768023107,https://www.linkedin.com/jobs/view/768023107/,KGS-Business Associate-Research-Bangalore,Work collaboratively with onshore KPMG teams in the development of and delivery of presentations and key findings. Contribute to research and benchmarking assignments &#x2013; either ...
826955398,https://www.linkedin.com/jobs/view/826955398/,KGS::MC::OpenText Exstream - Consultant,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
634880234,https://www.linkedin.com/jobs/view/634880234/,KGS | MC | Hypersion Planning/ Essbase Developer/Hypersion FDMEE,B.Tech/MCA with 4-7 years of relevant experience. Working experience on FDMEE version. Experience in creating drill regions. Configuration and set up of FDMEE application. ...
761919110,https://www.linkedin.com/jobs/view/761919110/,Assistant Manager - UK Corporate Tax,Experience in working with MS Office particularly MS Word and MS Excel. 4 to 7 years of experience in UK Corporate Taxation. At least 2 years&#x2019; experience in processing Tax. To ...
778219006,https://www.linkedin.com/jobs/view/778219006/,Trainee | Operation,The candidate is expected to have strong verbal and written communication skills. Experience on working with SharePoint 2013 &#x201c;Out-Of-The-Box&#x201d; &#x2013; OOTB features. Knowledge of MS...
814397438,https://www.linkedin.com/jobs/view/814397438/,AD - Forensics Inv,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
739358714,https://www.linkedin.com/jobs/view/739358714/,KGS:: MC:: Oracle HCM Functional:: Assistant Manager,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
781062377,https://www.linkedin.com/jobs/view/781062377/,Associate Consultant/ Consultant- Mash-up,Experience writing technical documentation and user guides; providing end-user training and support. Around 5-7 years of experience in following technologies: Experience working...
801403146,https://www.linkedin.com/jobs/view/801403146/,Consultant_WPF Winforms,Strong experience in identifying and implementing proper software design patterns based on the solution. Strong experience in designing and developing layered web based ...
729814943,https://www.linkedin.com/jobs/view/729814943/,KGS::MC-Assistant Manager::Cloud Strategy,"Interpersonal skills, superb problem solving skills and logical thinking. Mso-bidi-font-family:Arial;mso-ansi-language:EN-US&quot;&#x200b;&gt;6 to 10 years of experience. Mso-bidi-font-family..."
721883031,https://www.linkedin.com/jobs/view/721883031/,KGS::MC-Associate Consultant/Consultant::Service Now,"Mso-bidi-font-family:Arial;mso-ansi-language:EN-US&quot;&#x200b;&gt;Ideal candidate should have. Details, ability to multitask, and effective time management skills. Implementation/..."
682520495,https://www.linkedin.com/jobs/view/682520495/,KGS::MC-Consultant/Assistant Manager::Service Now,"Mso-bidi-font-family:Arial;mso-ansi-language:EN-US&quot;&#x200b;&gt;Ideal candidate should have. Details, ability to multitask, and effective time management skills. Span style=&quot;font-size:..."
736030261,https://www.linkedin.com/jobs/view/736030261/,AD - Forensics CCS,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
729815472,https://www.linkedin.com/jobs/view/729815472/,KGS::MC-Assistant Manager::Data Center,Mso-bidi-font-family:Arial;mso-ansi-language:EN-US&quot;&#x200b;&gt;6 to 9 years of experience. Mso-bidi-font-family:Arial;mso-ansi-language:EN-US&quot;&#x200b;&gt;Hands-on experience on any. ...
663375881,https://www.linkedin.com/jobs/view/663375881/,KGS - RC - Risk Assurance - IT Audit & Assurance,The candidate is expected to be a good team player with strong coordination skills. The candidate is expected to have strong verbal and written communication skills. Behavioral ...
674171601,https://www.linkedin.com/jobs/view/674171601/,Manager - IT Projects,"High level understanding of technologies such as Python, Azure, Spark/Scala, RPA, BOTS in addition to SQL server stack. Hands on experience with Microsoft Project management ..."
634881157,https://www.linkedin.com/jobs/view/634881157/,KGS-MC-Payroll Consultant,"Experience with Oracle or PeopleSoft payroll systems a plus. Payroll processing activities including computing wage and overtime payments, calculating and recording payroll ..."
634881039,https://www.linkedin.com/jobs/view/634881039/,Consultant - Testing,"Should have experience in ETL (Data Stage) testing performing data validation, count validation, duplicate validation, incremental validations on source and target. Should be ..."
